date,observation_type,total_absolute_weight_deviation,maximum_asset_weight_deviation,cash_residual,materially_off_target,intended_positions,actual_positions
2013-04-01,execution+review,0.018146585836767024,0.009073292918383546,0.009073292918383479,False,511010.SS:1.0000,511010.SS:0.9909
2013-05-02,execution+review,0.018047811508363626,0.009023905754181771,0.009023905754181855,False,511010.SS:1.0000,511010.SS:0.9910
2013-06-03,execution+review,0.02081046400314003,0.011785846332752037,0.009024617670387996,False,511010.SS:1.0000,511010.SS:0.9882
2013-07-01,execution+review,0.0035891443309134926,0.0017945721654567537,0.001794572165456739,False,511010.SS:1.0000,511010.SS:0.9982
2013-08-01,execution+review,0.003613633513724883,0.0018068167568624505,0.0018068167568624327,False,511010.SS:1.0000,511010.SS:0.9982
2013-09-02,execution+review,0.0036635165014133877,0.0018317582507066943,0.0018317582507066936,False,511010.SS:1.0000,511010.SS:0.9982
2013-10-08,execution+review,0.003661207391933567,0.0018306036959667704,0.0018306036959667964,False,511010.SS:1.0000,511010.SS:0.9982
2013-11-01,execution+review,0.003674993370814479,0.001837496685407225,0.001837496685407254,False,511010.SS:1.0000,511010.SS:0.9982
2013-12-02,execution+review,0.00374714723088301,0.0018735736154414928,0.0018735736154415169,False,511010.SS:1.0000,511010.SS:0.9981
2014-01-02,execution+review,0.0037402978712872403,0.001870148935643634,0.001870148935643606,False,511010.SS:1.0000,511010.SS:0.9981
2014-02-07,execution+review,0.003703564580578278,0.00185178229028915,0.001851782290289128,False,511010.SS:1.0000,511010.SS:0.9981
2014-03-03,execution+review,0.0036733440649727427,0.001836672032486386,0.0018366720324863564,False,511010.SS:1.0000,511010.SS:0.9982
2014-04-01,execution+review,0.0036866178502401002,0.0018433089251200796,0.0018433089251200206,False,511010.SS:1.0000,511010.SS:0.9982
2014-05-05,execution+review,0.15952143598608065,0.051227766753257215,0.07919176130258133,True,510300.SS:0.1179;510500.SS:0.0980;513500.SS:0.2161;513100.SS:0.1433;159920.SZ:0.1868;518880.SS:0.2379,510300.SS:0.1181;510500.SS:0.0981;513500.SS:0.1648;513100.SS:0.1435;159920.SZ:0.1590;518880.SS:0.2373
2014-06-03,execution+review,0.0003602036751106118,0.00012868761717615973,1.23815607148019e-05,False,510300.SS:0.1111;510500.SS:0.0931;513500.SS:0.2117;513100.SS:0.1329;159920.SZ:0.1706;518880.SS:0.2807,510300.SS:0.1111;510500.SS:0.0932;513500.SS:0.2117;513100.SS:0.1329;159920.SZ:0.1705;518880.SS:0.2805
2014-07-01,execution+review,0.0004900814949488892,0.00020281191973176016,8.365643722743465e-05,False,510300.SS:0.1240;510500.SS:0.0947;513500.SS:0.2123;513100.SS:0.1242;159920.SZ:0.1729;518880.SS:0.2720,510300.SS:0.1240;510500.SS:0.0946;513500.SS:0.2123;513100.SS:0.1242;159920.SZ:0.1726;518880.SS:0.2721
2014-08-01,execution+review,0.0008814092466942937,0.0004407046233470546,4.76424015164913e-05,False,510300.SS:0.1201;510500.SS:0.0989;513500.SS:0.2503;513100.SS:0.1470;159920.SZ:0.1549;518880.SS:0.2288,510300.SS:0.1202;510500.SS:0.0989;513500.SS:0.2504;513100.SS:0.1466;159920.SZ:0.1550;518880.SS:0.2289
2014-09-01,execution+review,0.00030010959960048125,0.00012502473655789936,2.3988277706077035e-05,False,510300.SS:0.1142;510500.SS:0.1208;513500.SS:0.2076;513100.SS:0.1628;159920.SZ:0.1454;518880.SS:0.2492,510300.SS:0.1143;510500.SS:0.1208;513500.SS:0.2076;513100.SS:0.1628;159920.SZ:0.1454;518880.SS:0.2491
2014-10-08,execution+review,0.0004572360759791878,0.00017009799823708427,7.4229518400727e-05,False,510300.SS:0.0974;510500.SS:0.1060;513500.SS:0.1904;513100.SS:0.1439;159920.SZ:0.1245;518880.SS:0.3378,510300.SS:0.0973;510500.SS:0.1061;513500.SS:0.1904;513100.SS:0.1439;159920.SZ:0.1245;518880.SS:0.3376
2014-11-03,execution+review,0.0004999114631374892,0.00024236008185446467,3.754659571205925e-05,False,510300.SS:0.1272;510500.SS:0.1221;513500.SS:0.1418;513100.SS:0.1315;159920.SZ:0.1085;518880.SS:0.3690,510300.SS:0.1272;510500.SS:0.1221;513500.SS:0.1419;513100.SS:0.1315;159920.SZ:0.1085;518880.SS:0.3687
2014-12-01,execution+review,0.00033646399883388833,0.00016297300564015182,2.6727570143101455e-06,False,510300.SS:0.1313;510500.SS:0.1265;513500.SS:0.1990;513100.SS:0.1635;159920.SZ:0.1215;518880.SS:0.2582,510300.SS:0.1314;510500.SS:0.1265;513500.SS:0.1990;513100.SS:0.1635;159920.SZ:0.1213;518880.SS:0.2583
